Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,433.973755,442.734985,422.647278,429.531250,429.531250,13227089409
2020-08-18,429.669617,432.580292,419.674103,423.669312,423.669312,11978984078
2020-08-19,423.738586,427.024658,396.678345,406.463776,406.463776,13137391166
2020-08-20,406.758911,418.734436,404.026093,416.439789,416.439789,10043032427
2020-08-21,416.148773,418.637970,387.441132,389.126343,389.126343,11781796374
2020-08-22,389.031097,396.466583,382.814636,395.835144,395.835144,10131847985
2020-08-23,395.562836,396.490417,385.039795,391.384491,391.384491,8137303969
2020-08-24,391.678986,409.388580,389.314606,408.144196,408.144196,10328860398
2020-08-25,408.071686,408.527924,374.355377,384.001038,384.001038,12428442042
2020-08-26,383.977448,391.873260,378.705841,386.466125,386.466125,9967343483
2020-08-27,386.609863,395.349182,374.866486,382.632629,382.632629,10457777651
2020-08-28,382.629578,397.757629,381.273834,395.874664,395.874664,9120674421
2020-08-29,395.687592,405.616364,393.037415,399.921478,399.921478,8777703480
2020-08-30,399.616699,428.663971,399.608368,428.395721,428.395721,11211948040
2020-08-31,428.509003,438.560333,419.770172,435.079742,435.079742,12774741797
2020-09-01,434.874451,487.211884,432.079193,477.051910,477.051910,18862763755
2020-09-02,477.007874,480.330994,424.460022,440.040497,440.040497,19691854013
2020-09-03,440.239990,449.532471,381.129700,385.671936,385.671936,19622845896
2020-09-04,384.671631,402.411743,371.636688,388.241150,388.241150,16747106257
2020-09-05,388.038391,394.172272,316.774353,335.260071,335.260071,29880047640
2020-09-06,335.334564,359.764038,319.041901,353.362274,353.362274,27643678916
2020-09-07,353.450256,358.211884,326.254364,352.673492,352.673492,21763614731
2020-09-08,353.202271,355.562866,328.816772,337.602112,337.602112,17991403431
2020-09-09,337.824921,359.164490,332.165009,351.110016,351.110016,14547933520
2020-09-10,351.429321,377.393585,351.111755,368.101898,368.101898,31421134556
2020-09-11,368.118500,376.630402,355.582581,374.695587,374.695587,27296269328
2020-09-12,374.595398,387.538452,367.842194,387.183105,387.183105,13295405814
2020-09-13,387.519287,388.959808,354.340179,365.570007,365.570007,15005899191
2020-09-14,365.699585,384.485199,357.569763,377.268860,377.268860,17536695360
2020-09-15,377.154022,381.508301,363.606812,364.839233,364.839233,16140584321
2020-09-16,364.743988,372.767426,356.682739,365.812286,365.812286,16107612177
2020-09-17,365.865784,393.901611,364.795135,389.019226,389.019226,19899531080
2020-09-18,389.337494,391.904144,376.964996,384.364532,384.364532,14108357740
2020-09-19,384.041656,387.076355,378.724060,385.544373,385.544373,11049507683
2020-09-20,385.597992,385.597992,367.094360,371.052826,371.052826,12292195784
