StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL010,254.69,487.4,116.01,71.65,132.74,20.38
DL010,298.46,608.28,191.82,100.77,206.66,15.81
DL010,281.03,477.2,62.92,75.93,91.74,7.63
DL010,110.51,162.53,8.6,36.85,26.71,8.25
DL010,94.11,202.91,28.8,46.93,48.42,12.2
DL010,107.7,219.26,19.07,33.01,33.04,7.48
DL010,100.0,186.28,10.31,28.75,23.71,7.42
DL010,107.55,204.46,32.17,28.46,41.43,11.14
DL010,153.36,285.05,41.39,39.0,54.52,10.65
DL010,320.01,511.91,80.41,69.82,102.7,11.99
DL010,287.89,430.73,36.8,51.75,57.59,9.08
DL010,255.09,419.71,32.09,43.27,49.21,10.96
DL010,161.0,254.47,17.11,32.45,31.18,7.49
DL010,197.35,346.66,32.84,34.54,45.07,10.37
DL010,305.34,552.97,68.36,64.12,89.8,11.06
DL010,186.23,344.27,27.27,33.01,39.79,7.1
DL010,224.77,424.06,24.5,38.79,40.53,9.55
DL010,250.85,510.39,66.38,47.99,79.71,10.98
DL010,307.96,540.21,97.81,45.28,103.93,17.02
DL010,383.46,703.57,59.14,61.31,80.96,11.07
DL010,334.39,489.92,61.33,56.64,80.15,14.91
DL010,246.14,334.57,73.1,44.77,83.39,14.41
DL010,463.2,589.48,217.08,59.29,241.28,40.18
DL010,457.68,573.81,237.94,70.7,269.2,39.55
DL010,292.38,536.48,199.56,59.27,218.45,21.92
DL010,215.36,407.78,95.86,57.82,108.79,12.86
DL010,183.31,366.34,28.18,48.47,48.79,8.8
DL010,187.56,395.64,38.32,53.85,59.89,11.45
DL010,118.97,191.44,24.88,52.62,48.3,13.06
DL010,128.0,156.63,27.6,41.74,44.65,13.35
DL010,99.2,190.77,18.76,28.3,30.33,8.82
DL010,151.17,307.93,42.84,44.98,59.09,11.95
DL010,166.12,423.89,79.72,58.46,95.96,15.47
DL010,235.86,399.8,118.13,53.4,162.57,29.09
DL010,237.15,363.52,69.44,62.98,90.15,12.53
DL010,108.81,173.01,21.8,39.91,38.99,11.36
DL010,133.69,249.84,32.69,60.67,58.91,11.95
DL010,163.2,232.08,35.21,57.36,59.33,13.38
DL010,139.96,214.27,46.73,46.57,62.89,10.53
DL010,142.55,272.25,61.19,62.17,83.0,12.26
DL010,134.18,240.59,11.46,37.77,29.46,11.19
DL010,144.9,350.6,73.5,43.94,83.34,15.33
