Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 28, 2014",399.47,401.02,374.33,377.18,"2,36,13,300","5,02,57,29,375"
"Sep 27, 2014",403.56,406.62,397.37,399.52,"1,50,29,300","5,32,20,75,836"
"Sep 26, 2014",411.43,414.94,400.01,404.42,"2,14,60,800","5,38,60,71,486"
"Sep 25, 2014",423.16,423.52,409.47,411.57,"2,68,14,400","5,47,99,02,023"
"Sep 24, 2014",435.75,436.11,421.13,423.2,"3,06,27,700","5,63,29,11,451"
"Sep 23, 2014",402.09,441.56,396.2,435.79,"4,50,99,500","5,79,87,54,889"
"Sep 22, 2014",399.1,406.92,397.13,402.15,"2,41,27,600","5,34,96,37,034"
"Sep 21, 2014",408.08,412.43,393.18,398.82,"2,65,80,100","5,30,36,51,275"
"Sep 20, 2014",394.67,423.3,389.88,408.9,"3,68,63,600","5,43,60,72,002"
"Sep 19, 2014",424.1,427.83,384.53,394.8,"3,79,19,700","5,24,67,79,621"
"Sep 18, 2014",456.86,456.86,413.1,424.44,"3,44,83,200","5,63,89,18,842"
"Sep 17, 2014",465.86,468.17,452.42,457.33,"2,10,56,800","6,07,39,10,021"
"Sep 16, 2014",474.86,475.64,465.13,466.06,"1,67,97,300","6,18,75,70,806"
"Sep 15, 2014",477.77,478.62,474.02,475.37,"1,53,45,200","6,30,91,95,218"
"Sep 14, 2014",479.12,479.85,476.12,477.89,"1,31,05,500","6,34,07,78,582"
"Sep 13, 2014",477.79,482.12,475.1,479,"1,55,88,000","6,35,36,14,254"
"Sep 12, 2014",479.58,479.63,473.01,477.75,"1,54,37,200","6,33,48,73,398"
"Sep 11, 2014",479.62,482.35,474.61,479.75,"1,68,52,900","6,35,95,04,769"
"Sep 10, 2014",475.48,487.47,475.14,479.36,"2,27,87,800","6,35,22,85,708"
"Sep 09, 2014",474.88,477.38,467.78,475.26,"2,14,47,800","6,29,61,01,902"
"Sep 08, 2014",481.81,489.83,468.79,474.6,"3,02,38,000","6,28,56,37,995"
"Sep 07, 2014",485.13,488.07,482.28,482.28,"89,94,050","6,38,55,89,802"
"Sep 06, 2014",483.34,488.6,483,484.83,"1,06,01,400","6,41,75,00,778"
"Sep 05, 2014",489.67,490.64,481.61,483.34,"1,53,02,500","6,39,56,41,762"
"Sep 04, 2014",477.68,493.93,477.09,489.66,"2,60,81,400","6,47,74,67,310"
"Sep 03, 2014",476.87,481.71,476.21,477.59,"1,33,42,200","6,31,58,59,936"
"Sep 02, 2014",474.48,482.99,472.32,477.43,"2,33,37,900","6,31,17,03,012"
"Sep 01, 2014",477.79,485.31,471.91,474.88,"2,04,32,000","6,27,63,09,535"
"Aug 31, 2014",502.9,504.88,474.81,477.76,"4,46,32,300","6,31,28,01,960"
"Aug 30, 2014",508.59,509.31,501.64,504.25,"94,24,070","6,66,03,85,523"
"Aug 29, 2014",508.42,511.7,503.82,508.52,"1,76,24,800","6,71,44,58,468"
"Aug 28, 2014",510.88,516.16,506.88,507.82,"1,98,62,000","6,70,30,31,046"
"Aug 27, 2014",512.19,520.71,510.92,511.15,"2,26,48,500","6,74,48,68,296"
"Aug 26, 2014",502.54,512.69,502.54,511.57,"2,32,35,100","6,74,81,71,027"
"Aug 25, 2014",508.22,508.22,499.23,502.5,"1,83,56,700","6,62,63,39,378"
"Aug 24, 2014",498.29,512.89,497.35,508.29,"1,94,41,700","6,70,09,63,067"
"Aug 23, 2014",513.39,514.3,492.11,498.08,"2,51,71,900","6,56,45,28,885"
"Aug 22, 2014",517.58,521.48,501.27,514.04,"3,65,63,900","6,77,28,89,206"
"Aug 21, 2014",510.45,531.9,510.45,517.24,"4,94,44,200","6,81,29,29,386"
"Aug 20, 2014",485.07,518.28,467.51,511.98,"4,65,27,600","6,74,15,73,447"
"Aug 19, 2014",461.48,485.71,455.54,485.24,"3,84,22,400","6,38,75,10,426"
"Aug 18, 2014",491.51,499.37,443.85,461.46,"5,07,83,800","6,07,22,59,848"
"Aug 17, 2014",519.14,520.19,483.63,491.8,"2,43,00,900","6,46,89,97,661"
"Aug 16, 2014",497.83,521.47,487.74,519.71,"2,28,32,500","6,83,39,65,310"
"Aug 15, 2014",511.14,518.18,487.93,497.01,"2,55,98,300","6,53,35,19,507"
"Aug 14, 2014",546.18,546.24,498.73,505.97,"3,58,03,900","6,64,92,82,620"
"Aug 13, 2014",570.38,573.03,532.67,546.66,"2,57,77,500","7,18,14,59,812"
"Aug 12, 2014",576.51,576.95,566.59,569.64,"1,39,78,200","7,48,13,36,243"
"Aug 11, 2014",591.28,591.51,574.05,576.37,"1,47,64,200","7,56,71,78,700"
"Aug 10, 2014",589.17,594.46,587.94,591.06,"75,55,310","7,75,73,94,871"
"Aug 09, 2014",592.47,592.47,587.63,589.37,"79,22,070","7,73,26,19,577"
"Aug 08, 2014",588.88,598.12,588.79,592.58,"1,10,72,000","7,77,19,58,458"
"Aug 07, 2014",584.65,591.1,584.05,588.87,"1,11,31,400","7,72,10,14,780"
"Aug 06, 2014",585.95,587.49,583.1,584.65,"1,44,97,900","7,66,33,83,046"
"Aug 05, 2014",589.01,589.86,584.1,585.44,"1,07,90,800","7,67,12,75,262"
"Aug 04, 2014",586.23,591.95,583.74,588.78,"98,67,570","7,71,31,17,798"
"Aug 03, 2014",588.89,589.15,581.65,586.67,"99,17,990","7,68,35,20,602"
"Aug 02, 2014",594.9,594.91,586.16,589.33,"83,59,080","7,71,61,81,169"
"Aug 01, 2014",586.2,597.92,583.63,594.92,"1,82,15,900","7,78,67,96,032"
