Date,Open*,High,Low,Close**,Volume,Market Cap
"Oct 29, 2017",296.38,313.76,296.38,305.09,"55,17,52,000","29,10,68,27,254"
"Oct 28, 2017",297.92,300.36,293.58,296.3,"26,44,24,000","28,26,22,02,960"
"Oct 27, 2017",296.51,299.26,294.06,297.42,"25,71,68,992","28,36,34,39,564"
"Oct 26, 2017",298.02,301.07,295.22,296.53,"27,02,72,992","28,27,19,25,666"
"Oct 25, 2017",298.44,301.85,290.72,297.92,"32,50,40,000","28,39,91,85,652"
"Oct 24, 2017",287.12,311.96,282.66,298.33,"68,42,81,024","28,43,15,76,038"
"Oct 23, 2017",295.1,295.75,277.58,286.95,"48,23,36,000","27,34,13,19,876"
"Oct 22, 2017",300.55,305.5,292.81,295.45,"32,73,87,008","28,14,47,94,782"
"Oct 21, 2017",303.57,303.93,291.77,300.19,"40,80,14,016","28,59,03,14,194"
"Oct 20, 2017",308.05,311.44,303.49,304.01,"39,66,72,992","28,94,79,16,800"
"Oct 19, 2017",314.54,316.71,305.83,308.09,"34,98,30,016","29,33,03,04,837"
"Oct 18, 2017",316.94,317.24,290.64,314.32,"60,61,13,984","29,91,70,84,625"
"Oct 17, 2017",333.48,333.48,311.79,317.08,"50,99,24,000","30,17,36,09,812"
"Oct 16, 2017",336.71,349.35,332.04,333.38,"69,28,84,992","31,71,82,00,756"
"Oct 15, 2017",339.53,342.72,320.43,336.6,"63,54,06,976","32,01,82,44,067"
"Oct 14, 2017",338.85,347.98,334.7,339.63,"51,65,61,984","32,30,14,59,659"
"Oct 13, 2017",304.08,348.6,299.66,338.76,"1,30,43,59,936","32,21,34,41,854"
"Oct 12, 2017",303.5,309.15,303.29,304.14,"52,75,56,992","28,91,65,25,240"
"Oct 11, 2017",301.18,304.39,299.1,303.46,"26,41,46,000","28,84,72,11,568"
"Oct 10, 2017",297.6,306.15,293.17,299.87,"35,97,05,984","28,50,16,67,385"
"Oct 09, 2017",308.67,309.31,288.18,297.39,"55,94,67,008","28,26,15,33,648"
"Oct 08, 2017",311.06,312.54,308.03,308.61,"29,31,67,008","29,32,27,10,612"
"Oct 07, 2017",308.89,313.13,304.98,311.12,"34,22,04,992","29,55,70,48,403"
"Oct 06, 2017",295.15,308.84,294.95,308.59,"31,86,64,000","29,31,14,83,315"
"Oct 05, 2017",292.77,298.04,288.84,295.86,"25,37,47,008","28,09,83,36,333"
"Oct 04, 2017",292.75,299.39,290.89,292.66,"25,79,06,000","27,78,94,44,567"
"Oct 03, 2017",297.48,300.11,288.13,292.46,"32,16,80,000","27,76,64,43,809"
"Oct 02, 2017",302.48,302.92,294.58,297.48,"33,94,43,008","28,23,77,63,674"
"Oct 01, 2017",301.55,303.19,295.06,302.34,"30,61,84,992","28,69,47,30,559"
"Sep 30, 2017",291.48,303.96,291.11,301.46,"33,24,39,008","28,60,74,06,298"
"Sep 29, 2017",299.12,299.92,279.77,291.47,"54,13,74,976","27,65,42,90,280"
"Sep 28, 2017",306.47,307.2,295.47,299.15,"50,18,94,016","28,37,92,92,201"
"Sep 27, 2017",287.02,308.02,286.82,306.47,"55,02,43,968","29,06,83,42,956"
"Sep 26, 2017",292.35,293.75,287.02,287.44,"34,58,00,992","27,25,90,15,800"
"Sep 25, 2017",282.22,293.52,281.88,292.33,"48,31,60,992","27,71,86,84,465"
"Sep 24, 2017",286.21,292.95,278.13,282.48,"57,14,11,008","26,78,06,10,986"
"Sep 23, 2017",264.6,286.17,261.12,286.17,"45,09,34,016","27,12,55,37,826"
"Sep 22, 2017",258.11,270.54,256.22,264.31,"43,00,80,992","25,04,96,76,632"
"Sep 21, 2017",283.26,286.61,255.02,258.58,"60,12,65,984","24,50,25,50,354"
"Sep 20, 2017",282.02,290.89,278.05,283.74,"42,14,04,000","26,88,13,72,918"
"Sep 19, 2017",293.66,295.77,274.48,282.8,"64,69,08,992","26,78,70,85,258"
"Sep 18, 2017",252.23,293.5,252.23,293.5,"1,12,77,50,016","27,79,42,33,413"
"Sep 17, 2017",245.85,257,235.24,251.75,"42,74,52,000","23,83,58,88,183"
"Sep 16, 2017",250.87,262.59,238.22,246.52,"71,17,37,024","23,33,62,57,868"
"Sep 15, 2017",215.22,258.65,195.04,250.46,"1,93,56,99,968","23,70,45,66,170"
"Sep 14, 2017",276.59,280.84,213.91,213.91,"1,18,45,89,952","20,24,06,33,669"
"Sep 13, 2017",291.12,291.12,260.61,277.11,"92,16,92,032","26,21,58,30,135"
"Sep 12, 2017",294.63,311.2,287.23,291.46,"75,31,44,000","27,56,80,17,613"
"Sep 11, 2017",289.74,300.69,286.68,294.53,"57,13,07,008","27,85,25,86,150"
"Sep 10, 2017",294.06,294.76,268.97,288.75,"69,83,26,016","27,30,00,89,799"
"Sep 09, 2017",296.17,299.89,287.22,294.4,"52,86,20,992","27,82,94,35,118"
"Sep 08, 2017",329.64,329.64,285.16,296.5,"1,09,87,80,032","28,02,15,50,341"
"Sep 07, 2017",333.52,333.52,319.94,329.43,"71,86,24,000","31,12,74,63,390"
"Sep 06, 2017",313.8,334.66,313.49,334.34,"1,05,88,30,016","31,58,49,14,370"
"Sep 05, 2017",297.57,318.57,268.29,312.99,"1,55,10,49,984","29,56,21,62,666"
